Player Name,2022-2023,2022-2023(*)
Romeo Langford,"5,634,257.00","5,634,257.00"
Dyson Daniels,"5,508,600.00","5,508,600.00"
JaVale McGee,"5,461,219.00","5,461,219.00"
Goga Bitadze,"5,377,520.00","5,377,520.00"
Obi Toppin,"5,348,280.00","5,348,280.00"
Franz Wagner,"5,258,280.00","5,258,280.00"
Kendrick Nunn,"5,250,000.00","5,250,000.00"
Hamidou Diallo,"5,200,000.00","5,200,000.00"
Garrett Temple,"5,155,500.00","5,155,500.00"
Cory Joseph,"5,155,500.00","5,155,500.00"
Torrey Craig,"5,121,951.00","5,121,951.00"
Jeremy Sochan,"5,063,520.00","5,063,520.00"
David Nwaba,"5,022,000.00","5,022,000.00"
Nickeil Alexander-Walker,"5,009,633.00","5,009,633.00"
Furkan Korkmaz,"5,000,000.00","5,000,000.00"
Deni Avdija,"4,916,160.00","4,916,160.00"
Davion Mitchell,"4,833,600.00","4,833,600.00"
Johnny Davis,"4,810,320.00","4,810,320.00"
Ty Jerome,"4,728,948.00","4,728,948.00"
Ishmael Smith,"4,725,000.00","4,725,000.00"
Jalen Smith,"4,670,160.00","4,670,160.00"
Ziaire Williams,"4,591,680.00","4,591,680.00"
Ousmane Dieng,"4,569,840.00","4,569,840.00"
Moe Harkless,"4,564,980.00","4,564,980.00"
Donte DiVincenzo,"4,500,000.00","4,500,000.00"
Jeff Green,"4,500,000.00","4,500,000.00"
Devin Vassell,"4,437,000.00","4,437,000.00"
Matisse Thybulle,"4,379,526.00","4,379,526.00"
Jarred Vanderbilt,"4,374,000.00","4,374,000.00"
James Bouknight,"4,362,240.00","4,362,240.00"
Brandon Clarke,"4,343,919.00","4,343,919.00"
Jalen Williams,"4,341,480.00","4,341,480.00"
Grant Williams,"4,306,281.00","4,306,281.00"
Darius Bazley,"4,264,628.00","4,264,628.00"
Tyrese Haliburton,"4,215,120.00","4,215,120.00"
Nassir Little,"4,171,548.00","4,171,548.00"
Josh Primo,"4,144,320.00","4,144,320.00"
Jalen Duren,"4,124,280.00","4,124,280.00"
Gorgui Dieng,"4,105,236.00","4,105,236.00"
