Andre Iguodala,"$17,185,185","$19,880,142"
Evan Fournier,"$17,150,000","$19,839,439"
Bojan Bogdanovic,"$17,000,000","$19,665,917"
Bismack Biyombo,"$17,000,000","$19,665,917"
Clint Capela,"$16,896,552","$19,546,246"
Gorgui Dieng,"$16,229,213","$18,774,256"
Ricky Rubio,"$16,200,000","$18,740,462"
Jonas Valanciunas,"$16,000,000","$18,509,098"
Brandon Knight,"$15,643,750","$18,096,981"
Kelly Oubre,"$15,625,000","$18,075,291"
Eric Bledsoe,"$15,625,000","$18,075,291"
Dennis Schroeder,"$15,500,000","$17,930,689"
Ian Mahinmi,"$15,450,051","$17,872,907"
James Johnson,"$15,349,400","$17,756,472"
Bobby Portis,"$15,000,000","$17,352,279"
Marcus Morris,"$15,000,000","$17,352,279"
Danny Green,"$14,634,147","$16,929,054"
Rudy Gay,"$14,500,000","$16,773,870"
Cody Zeller,"$14,471,910","$16,741,375"
Eric Gordon,"$14,057,730","$16,262,244"
Mason Plumlee,"$14,041,096","$16,243,001"
JJ Redick,"$13,486,300","$15,601,203"
Jordan Clarkson,"$13,437,500","$15,544,750"
Dewayne Dedmon,"$13,333,334","$15,424,249"
Solomon Hill,"$13,290,395","$15,374,576"
Justise Winslow,"$13,000,000","$15,038,642"
Thaddeus Young,"$12,900,000","$14,922,960"
Will Barton,"$12,776,786","$14,780,424"
Courtney Lee,"$12,759,670","$14,760,624"
Larry Nance Jr,"$12,727,273","$14,723,146"
Patrick Mills,"$12,678,571","$14,666,807"
Kelly Olynyk,"$12,667,885","$14,654,445"
Marcus Smart,"$12,553,571","$14,522,205"
Terrence Ross,"$12,500,000","$14,460,233"
Patrick Beverley,"$12,345,680","$14,281,712"
Trevor Ariza,"$12,200,000","$14,113,187"
Brook Lopez,"$12,093,024","$13,989,435"
Cory Joseph,"$12,000,000","$13,881,823"
Jusuf Nurkic,"$12,000,000","$13,881,823"
Joe Ingles,"$11,454,546","$13,250,832"
Tony Snell,"$11,392,857","$13,179,469"
Robert Covington,"$11,301,219","$13,073,460"
Meyers Leonard,"$11,286,515","$13,056,451"
TJ Warren,"$11,060,000","$12,794,414"
Moe Harkless,"$11,011,234","$12,738,000"
Andre Roberson,"$10,740,740","$12,425,088"
Spencer Dinwiddie,"$10,605,600","$12,268,755"
Jeremy Lamb,"$10,500,000","$12,146,595"
Dwight Powell,"$10,259,375","$11,868,236"
George Hill,"$10,133,907","$11,723,092"
Norman Powell,"$10,116,576","$11,703,043"
Josh Richardson,"$10,116,576","$11,703,043"
Tyus Jones,"$10,116,000","$11,702,377"
Tomas Satoransky,"$10,000,000","$11,568,186"
DeAndre Jordan,"$9,881,598","$11,431,216"
Zion Williamson,"$9,757,440","$11,287,588"
Markelle Fultz,"$9,745,200","$11,273,429"
John Henson,"$9,732,396","$11,258,617"
Matthew Dellavedova,"$9,607,500","$11,114,135"
Dante Exum,"$9,600,000","$11,105,459"
Deandre Ayton,"$9,562,920","$11,062,564"
Delon Wright,"$9,473,684","$10,959,334"
Fred VanVleet,"$9,346,153","$10,811,804"
