Keegan Murray,"$8,409,000","$8,809,560","$11,144,093","$14,699,059"
Delon Wright,"$8,195,122",$0,$0,$0
Onyeka Okongwu,"$8,109,063","$10,817,490",$0,$0
Scottie Barnes,"$8,008,680","$10,130,980","$13,362,763",$0
Jock Landale,"$8,000,000","$8,000,000","$8,000,000","$8,000,000"
Trey Lyles,"$8,000,000","$8,000,000",$0,$0
Moritz Wagner,"$8,000,000","$8,000,000",$0,$0
De'Anthony Melton,"$8,000,000",$0,$0,$0
Thaddeus Young,"$8,000,000",$0,$0,$0
Ausar Thompson,"$7,977,420","$8,376,291","$8,775,162","$11,118,130"
Miles Bridges,"$7,921,300",$0,$0,$0
Vasilije Micic,"$7,723,000","$7,723,000","$8,109,150",$0
Paul Reed,"$7,723,000","$7,723,000","$8,109,150",$0
Zach Collins,"$7,700,000",$0,$0,$0
Jaden Ivey,"$7,614,480","$7,977,240","$10,107,163","$13,402,098"
Cody Martin,"$7,560,000","$8,120,000","$8,680,000",$0
Kevon Looney,"$7,500,000","$8,000,000",$0,$0
Killian Hayes,"$7,413,955","$9,942,114",$0,$0
Jalen Suggs,"$7,252,080","$9,188,385","$12,183,799",$0
Anthony Black,"$7,245,480","$7,607,754","$7,970,028","$10,105,996"
Khem Birch,"$6,985,000",$0,$0,$0
Bennedict Mathurin,"$6,916,080","$7,245,720","$9,187,573","$12,256,222"
Obi Toppin,"$6,803,012","$9,170,460",$0,$0
Caleb Martin,"$6,802,950","$7,126,900",$0,$0
Patrick Mills,"$6,802,950",$0,$0,$0
Danilo Gallinari,"$6,802,950",$0,$0,$0
Cedi Osman,"$6,718,842",$0,$0,$0
Bilal Coulibaly,"$6,614,256","$6,944,969","$7,275,682","$9,240,116"
Josh Giddey,"$6,587,040","$8,352,367","$11,142,057",$0
Jae'Sean Tate,"$6,500,000","$7,065,217",$0,$0
Cameron Payne,"$6,500,000",$0,$0,$0
Ayo Dosunmu,"$6,481,482","$7,000,000","$7,518,518",$0
Rudy Gay,"$6,479,000",$0,$0,$0
Sasha Vezenkov,"$6,341,464","$6,658,536","$6,975,609",$0
