159,Tyson Chandler,"$3,804,360 ","$6,136,492 "
160,Marcus Fizer,"$3,726,994 ","$6,011,700 "
161,Jay Williams,"$3,710,880 ","$5,985,708 "
162,Bruce Bowen,"$3,650,000 ","$5,887,507 "
163,Lawrence Funderburke,"$3,600,000 ","$5,806,856 "
164,Darko Milicic,"$3,595,800 ","$5,800,082 "
165,Moochie Norris,"$3,500,000 ","$5,645,555 "
165,Shawn Bradley,"$3,500,000 ","$5,645,555 "
167,Eduardo Najera,"$3,428,572 ","$5,530,340 "
168,Mike Miller,"$3,380,457 ","$5,452,730 "
169,Mike Dunleavy,"$3,332,520 ","$5,375,407 "
170,Jeff McInnis,"$3,300,000 ","$5,322,952 "
171,Carmelo Anthony,"$3,229,200 ","$5,208,750 "
172,Eddy Curry,"$3,080,160 ","$4,968,346 "
173,Rodney Rogers,"$3,075,600 ","$4,960,991 "
174,Evan Eschmeyer,"$3,017,266 ","$4,866,897 "
175,Matt Maloney,"$3,006,260 ","$4,849,144 "
176,Drew Gooden,"$3,004,560 ","$4,846,402 "
177,Michael Redd,"$3,000,000 ","$4,839,047 "
177,Derek Fisher,"$3,000,000 ","$4,839,047 "
177,Speedy Claxton,"$3,000,000 ","$4,839,047 "
177,Lindsey Hunter,"$3,000,000 ","$4,839,047 "
177,Jon Barry,"$3,000,000 ","$4,839,047 "
177,Chris Crawford,"$3,000,000 ","$4,839,047 "
183,Eric Montross,"$2,960,000 ","$4,774,526 "
184,Hubert Davis,"$2,956,250 ","$4,768,477 "
185,Bobby Jackson,"$2,925,000 ","$4,718,071 "
185,Othella Harrington,"$2,925,000 ","$4,718,071 "
185,Tony Delk,"$2,925,000 ","$4,718,071 "
185,Aaron Williams,"$2,925,000 ","$4,718,071 "
189,Chris Bosh,"$2,911,320 ","$4,696,005 "
190,Chris Mihm,"$2,809,494 ","$4,531,758 "
191,Michael Curry,"$2,800,000 ","$4,516,444 "
191,George Lynch,"$2,800,000 ","$4,516,444 "
193,Jason Richardson,"$2,789,280 ","$4,499,152 "
194,Nikoloz Tskitishvili,"$2,720,760 ","$4,388,628 "
195,Pat Garrity,"$2,643,750 ","$4,264,410 "
196,Greg Buckner,"$2,640,000 ","$4,258,361 "
197,Dwyane Wade,"$2,636,400 ","$4,252,554 "
198,Wang Zhizhi,"$2,620,943 ","$4,227,621 "
199,Pau Gasol,"$2,618,395 ","$4,223,512 "
200,John Amaechi,"$2,610,000 ","$4,209,971 "
201,Jamal Crawford,"$2,577,937 ","$4,158,253 "
202,Shane Battier,"$2,533,440 ","$4,086,478 "
203,Andrew DeClercq,"$2,500,000 ","$4,032,539 "
203,Predrag Drobnjak,"$2,500,000 ","$4,032,539 "
203,Eric Piatkowski,"$2,500,000 ","$4,032,539 "
203,Earl Boykins,"$2,500,000 ","$4,032,539 "
203,Lucious Harris,"$2,500,000 ","$4,032,539 "
208,Darrell Armstrong,"$2,475,000 ","$3,992,214 "
209,Dajuan Wagner,"$2,471,280 ","$3,986,213 "
210,Kevin Ollie,"$2,458,500 ","$3,965,599 "
210,Ira Newble,"$2,458,500 ","$3,965,599 "
212,Stacey Augmon,"$2,400,000 ","$3,871,237 "
213,Chris Kaman,"$2,394,600 ","$3,862,527 "
214,Joel Przybilla,"$2,373,309 ","$3,828,184 "
215,Eddie Griffin,"$2,312,760 ","$3,730,518 "
216,Cory Alexander,"$2,302,778 ","$3,714,417 "
217,Keyon Dooling,"$2,256,444 ","$3,639,679 "
218,Etan Thomas,"$2,200,942 ","$3,550,154 "
219,Antonio Daniels,"$2,200,000 ","$3,548,634 "
219,Jim Jackson,"$2,200,000 ","$3,548,634 "
221,Kirk Hinrich,"$2,185,920 ","$3,525,923 "
222,Courtney Alexander,"$2,168,193 ","$3,497,329 "
223,Bimbo Coles,"$2,120,000 ","$3,419,592 "
224,DeSagana Diop,"$2,118,840 ","$3,417,722 "
225,Nenê,"$2,102,840 ","$3,391,914 "
226,Troy Hudson,"$2,100,000 ","$3,387,333 "
227,Chris Wilcox,"$2,066,760 ","$3,333,716 "
228,TJ Ford,"$2,002,680 ","$3,230,354 "
229,Hidayet Turkoglu,"$1,995,611 ","$3,218,952 "
230,Rodney White,"$1,947,600 ","$3,141,509 "
231,Marko Jaric,"$1,925,000 ","$3,105,055 "
232,Amare Stoudemire,"$1,899,720 ","$3,064,278 "
233,Desmond Mason,"$1,898,312 ","$3,062,007 "
234,Joe Johnson,"$1,850,160 ","$2,984,337 "
235,Mike Sweetney,"$1,840,800 ","$2,969,239 "
236,Quentin Richardson,"$1,805,735 ","$2,912,679 "
237,Caron Butler,"$1,804,680 ","$2,910,977 "
238,Nate Huffman,"$1,760,000 ","$2,838,907 "
239,Kedrick Brown,"$1,757,640 ","$2,835,101 "
240,Jarvis Hayes,"$1,748,760 ","$2,820,777 "
241,Jamaal Magloire,"$1,726,771 ","$2,785,308 "
242,Jared Jeffries,"$1,714,440 ","$2,765,418 "
243,Samaki Walker,"$1,700,000 ","$2,742,126 "
244,Corie Blount,"$1,680,000 ","$2,709,866 "
245,Vladimir Radmanovic,"$1,669,800 ","$2,693,413 "
246,Morris Peterson,"$1,646,079 ","$2,655,151 "
247,Melvin Ely,"$1,628,760 ","$2,627,215 "
248,DeShawn Stevenson,"$1,616,087 ","$2,606,773 "
249,Jerome Moiso,"$1,600,000 ","$2,580,825 "
249,Cezary Trybanski,"$1,600,000 ","$2,580,825 "
251,Dalibor Bagaric,"$1,599,076 ","$2,579,334 "
252,Richard Jefferson,"$1,586,280 ","$2,558,694 "
253,Iakovos Tsakalidis,"$1,580,702 ","$2,549,697 "
254,Nick Collison,"$1,578,240 ","$2,545,726 "
255,Marcus Haislip,"$1,547,280 ","$2,495,787 "
256,Gordan Giricek,"$1,540,000 ","$2,484,044 "
256,Michael Doleac,"$1,540,000 ","$2,484,044 "
256,Stanislav Medvedenko,"$1,540,000 ","$2,484,044 "
