John Salmons,"$5,104,000 ","$6,911,643 "
Deron Williams,"$5,069,449 ","$6,864,856 "
Matt Carroll,"$5,050,000 ","$6,838,519 "
Greg Oden,"$5,011,680 ","$6,786,627 "
Raja Bell,"$5,000,000 ","$6,770,810 "
JR Smith,"$4,985,001 ","$6,750,499 "
Kyle Korver,"$4,956,818 ","$6,712,335 "
Rafer Alston,"$4,900,000 ","$6,635,394 "
Derrick Rose,"$4,822,800 ","$6,530,853 "
Joe Smith,"$4,795,000 ","$6,493,207 "
Nenad Krstic,"$4,778,548 ","$6,470,929 "
Derek Fisher,"$4,700,000 ","$6,364,562 "
Reggie Evans,"$4,640,000 ","$6,283,312 "
LaMarcus Aldridge,"$4,631,400 ","$6,271,666 "
Kendrick Perkins,"$4,578,880 ","$6,200,546 "
Chris Paul,"$4,574,189 ","$6,194,193 "
Anthony Parker,"$4,550,000 ","$6,161,437 "
Sasha Vujacic,"$4,524,887 ","$6,127,430 "
Louis Williams,"$4,500,000 ","$6,093,729 "
Ronny Turiaf,"$4,500,000 ","$6,093,729 "
Aleksandar Pavlovic,"$4,500,000 ","$6,093,729 "
Kevin Durant,"$4,484,040 ","$6,072,117 "
Damon Jones,"$4,460,186 ","$6,039,815 "
Luke Walton,"$4,420,000 ","$5,985,396 "
Jorge Garbajosa,"$4,350,000 ","$5,890,605 "
Trenton Hassell,"$4,350,000 ","$5,890,605 "
Michael Beasley,"$4,314,960 ","$5,843,155 "
Marcus Banks,"$4,260,000 ","$5,768,730 "
Steve Blake,"$4,250,000 ","$5,755,189 "
Darius Songaila,"$4,235,000 ","$5,734,876 "
Kurt Thomas,"$4,200,000 ","$5,687,481 "
Adam Morrison,"$4,159,200 ","$5,632,231 "
Raymond Felton,"$4,148,716 ","$5,618,034 "
Al Horford,"$4,026,720 ","$5,452,831 "
Greg Buckner,"$4,010,005 ","$5,430,197 "
James Jones,"$4,010,000 ","$5,430,190 "
Bruce Bowen,"$4,000,000 ","$5,416,648 "
