Player Name,2012-2013,2012-2013(*)
DJ Augustin,3500000.00,4519337.00
Will Bynum,3500000.00,4519337.00
Alonzo Gee,3500000.00,4519337.00
Johan Petro,3500000.00,4519337.00
Raja Bell,3480000.00,4493512.00
Jonas Valanciunas,3374640.00,4357467.00
Thomas Robinson,3374640.00,4357467.00
DeMar DeRozan,3344250.00,4318226.00
Tony Allen,3300000.00,4261089.00
Jan Vesely,3294960.00,4254581.00
Corey Brewer,3243000.00,4187488.00
Greg Monroe,3217680.00,4154794.00
Brandon Jennings,3179493.00,4105486.00
Shawne Williams,3158000.00,4077733.00
Shane Battier,3135000.00,4048035.00
Josh McRoberts,3135000.00,4048035.00
Vince Carter,3120000.00,4028666.00
Gerald Henderson,3101326.00,4004553.00
Jerryd Bayless,3100000.00,4002841.00
Jason Kidd,3090000.00,3989929.00
Ray Allen,3090000.00,3989929.00
Mirza Teletovic,3090000.00,3989929.00
Damian Lillard,3065040.00,3957699.00
Tyler Hansbrough,3055259.00,3945070.00
Alexey Shved,3017943.00,3896886.00
Bismack Biyombo,3007920.00,3883944.00
Darrell Arthur,3006217.00,3881745.00
Kwame Brown,3000000.00,3873717.00
Lavoy Allen,3000000.00,3873717.00
Chauncey Billups,3000000.00,3873717.00
Carlos Delfino,3000000.00,3873717.00
Kosta Koufos,3000000.00,3873717.00
Austin Daye,2958444.00,3820059.00
Al-Farouq Aminu,2947800.00,3806315.00
Nick Collison,2929332.00,3782468.00
Joel Freeland,2900000.00,3744593.00
Dahntay Jones,2900000.00,3744593.00
James Johnson,2812006.00,3630972.00
JR Smith,2806452.00,3623800.00
Harrison Barnes,2798040.00,3612939.00
Timofey Mozgov,2794621.00,3608524.00
Brandon Knight,2755560.00,3558087.00
Gordon Hayward,2709720.00,3498896.00
Quentin Richardson,2706940.00,3495306.00
Jrue Holiday,2674851.00,3453872.00
Greg Stiemsma,2575000.00,3324941.00
Paul George,2574120.00,3323804.00
Terrence Ross,2563320.00,3309859.00
Ty Lawson,2544528.00,3285594.00
Kemba Walker,2532960.00,3270657.00
Randy Foye,2500000.00,3228098.00
Jason Smith,2500000.00,3228098.00
Reggie Williams,2500000.00,3228098.00
Cole Aldrich,2445480.00,3157699.00
Jeff Teague,2433076.00,3141683.00
Jimmer Fredette,2406240.00,3107031.00
Andre Drummond,2356320.00,3042572.00
Eric Maynor,2338720.00,3019847.00
Xavier Henry,2323200.00,2999807.00
Darren Collison,2319344.00,2994828.00
Omri Casspi,2277306.00,2940546.00
Serge Ibaka,2253061.00,2909240.00
BJ Mullens,2253061.00,2909240.00
DeShawn Stevenson,2240450.00,2892956.00
Austin Rivers,2238360.00,2890258.00
Rodrigue Beaubois,2227332.00,2876018.00
CJ Miles,2225000.00,2873007.00
Klay Thompson,2222160.00,2869340.00
Ed Davis,2207040.00,2849816.00
Martell Webster,2200000.00,2840725.00
Alec Burks,2171640.00,2804106.00
Taj Gibson,2155811.00,2783667.00
Meyers Leonard,2126520.00,2745846.00
Patrick Patterson,2096760.00,2707418.00
Dante Cunningham,2090000.00,2698690.00
Wayne Ellington,2083042.00,2689705.00
Toney Douglas,2067880.00,2670127.00
Markieff Morris,2063040.00,2663878.00
Shaun Livingston,2038446.00,2632120.00
Jeremy Lamb,2020200.00,2608561.00
Earl Watson,2000000.00,2582478.00
Larry Sanders,1991760.00,2571838.00
Marcus Morris,1959960.00,2530777.00
Grant Hill,1957000.00,2526955.00
Marco Belinelli,1957000.00,2526955.00
Kendall Marshall,1919160.00,2478094.00
Luke Babbitt,1892280.00,2443386.00
Kawhi Leonard,1861920.00,2404184.00
John Henson,1823280.00,2354290.00
Kevin Seraphin,1797600.00,2321131.00
Jeremy Evans,1795000.00,2317774.00
Nikola Vucevic,1768800.00,2283943.00
Moe Harkless,1731960.00,2236374.00
Eric Bledsoe,1707720.00,2205075.00
Iman Shumpert,1680360.00,2169746.00
Renaldo Balkman,1675000.00,2162825.00
Anthony Randolph,1674641.00,2162362.00
Royce White,1645440.00,2124656.00
Avery Bradley,1630800.00,2105752.00
Reggie Evans,1622618.00,2095188.00
Chris Singleton,1596360.00,2061282.00
Sebastian Telfair,1567500.00,2024017.00
Tyler Zeller,1563120.00,2018361.00
Tobias Harris,1524480.00,1968468.00
Derek Fisher,1519214.00,1961668.00
John Lucas,1500000.00,1936858.00
Gustavo Ayon,1500000.00,1936858.00
Gary Forbes,1500000.00,1936858.00
Vyacheslav Kravtsov,1500000.00,1936858.00
Jordan Farmar,1500000.00,1936858.00
Terrence Jones,1485000.00,1917490.00
Jared Jeffries,1475106.00,1904714.00
Keyon Dooling,1471491.00,1900046.00
Elliot Williams,1442880.00,1863103.00
Andrew Nicholson,1418160.00,1831183.00
Nolan Smith,1404960.00,1814139.00
Nando De Colo,1400000.00,1807734.00
Jodie Meeks,1400000.00,1807734.00
Trevor Booker,1385280.00,1788727.00
Willie Green,1375000.00,1775453.00
Louis Amundson,1365196.00,1762793.00
Donatas Motiejunas,1361400.00,1757893.00
Evan Fournier,1361400.00,1757893.00
Jason Collins,1352181.00,1745989.00
Jamaal Tinsley,1352181.00,1745989.00
Jermaine O'Neal,1352181.00,1745989.00
Kurt Thomas,1352181.00,1745989.00
Rasheed Wallace,1352181.00,1745989.00
Joel Przybilla,1352181.00,1745989.00
Antawn Jamison,1352181.00,1745989.00
Vladimir Radmanovic,1352181.00,1745989.00
Nazr Mohammed,1352181.00,1745989.00
Jerry Stackhouse,1352181.00,1745989.00
Chris Wilcox,1352181.00,1745989.00
Kenneth Faried,1348800.00,1741623.00
Jeremy Pargo,1313845.00,1696487.00
Jared Sullinger,1306920.00,1687546.00
Hamed Haddadi,1300000.00,1678611.00
Dominique Jones,1276560.00,1648344.00
Victor Claver,1254720.00,1620143.00
Fab Melo,1254720.00,1620143.00
Reggie Jackson,1243080.00,1605113.00
Earl Clark,1240000.00,1601136.00
Quincy Pondexter,1234320.00,1593802.00
Aleksandar Pavlovic,1232713.00,1591727.00
Leandro Barbosa,1229255.00,1587262.00
Roger Mason,1229255.00,1587262.00
Marquis Daniels,1229255.00,1587262.00
Royal Ivey,1223166.00,1579399.00
Damien Wilkins,1223166.00,1579399.00
Delonte West,1223166.00,1579399.00
Lazar Hayward,1209260.00,1561443.00
John Jenkins,1204560.00,1555375.00
Jordan Crawford,1198680.00,1547782.00
Dominic McGuire,1195578.00,1543776.00
MarShon Brooks,1193280.00,1540809.00
Greivis Vasquez,1191240.00,1538175.00
Christian Eyenga,1174080.00,1516018.00
Jared Cunningham,1156320.00,1493085.00
Jordan Hamilton,1153800.00,1489831.00
Ronnie Price,1146337.00,1480195.00
Ronny Turiaf,1146337.00,1480195.00
Nate Robinson,1146337.00,1480195.00
JaJuan Johnson,1120440.00,1446756.00
Norris Cole,1113600.00,1437924.00
Josh Howard,1113560.00,1437872.00
Tony Wroten,1110120.00,1433430.00
Cory Joseph,1105560.00,1427542.00
Jimmy Butler,1097520.00,1417160.00
Patrick Mills,1085120.00,1401149.00
Miles Plumlee,1073280.00,1385861.00
Ronnie Brewer,1069509.00,1380991.00
Ryan Hollins,1069509.00,1380991.00
Luke Harangody,1054389.00,1361468.00
DeJuan Blair,1054000.00,1360966.00
Arnett Moultrie,1042320.00,1345884.00
Devin Ebanks,1040000.00,1342888.00
Perry Jones,1035960.00,1337672.00
Festus Ezeli,1020960.00,1318303.00
Mickael Pietrus,1005096.00,1297819.00
Jon Brockman,1000000.00,1291239.00
Kyle Singler,1000000.00,1291239.00
Brandan Wright,992680.00,1281787.00
Kelenna Azubuike,992680.00,1281787.00
CJ Watson,992680.00,1281787.00
Ishmael Smith,985000.00,1271870.00
Gary Neal,972000.00,1255084.00
Ivan Johnson,962195.00,1242423.00
Chase Budinger,942293.00,1216725.00
Darius Morris,937195.00,1210142.00
Cartier Martin,915852.00,1182584.00
Anthony Tolliver,915852.00,1182584.00
Lance Stephenson,915243.00,1181797.00
James Anderson,902002.00,1164699.00
Chandler Parsons,888250.00,1146943.00
AJ Price,885120.00,1142901.00
DeMarre Carroll,885120.00,1142901.00
Alan Anderson,885120.00,1142901.00
Hasheem Thabeet,885120.00,1142901.00
Marquis Teague,857000.00,1106592.00
James White,854389.00,1103220.00
Will Conroy,854389.00,1103220.00
Dexter Pittman,854389.00,1103220.00
Matt Barnes,854389.00,1103220.00
Jeff Ayres,854389.00,1103220.00
Keith Bogans,854389.00,1103220.00
Tyler Honeycutt,850000.00,1097553.00
Draymond Green,850000.00,1097553.00
Brad Miller,848000.00,1094970.00
Mike James,795400.00,1027051.00
Kyle O'Quinn,788872.00,1018622.00
Isaiah Thomas,762195.00,984176.00
PJ Tucker,762195.00,984176.00
Charles Jenkins,762195.00,984176.00
E'Twaun Moore,762195.00,984176.00
Justin Harper,762195.00,984176.00
Daniel Orton,762195.00,984176.00
DeAndre Liggins,762195.00,984176.00
Lance Thomas,762195.00,984176.00
Malcolm Lee,762195.00,984176.00
Jon Leuer,762195.00,984176.00
Trey Thompkins,762195.00,984176.00
Greg Smith,762195.00,984176.00
Julyan Stone,762195.00,984176.00
Josh Selby,762195.00,984176.00
Cory Higgins,762195.00,984176.00
Jeremy Tyler,762195.00,984176.00
Shelvin Mack,761800.00,983665.00
Sam Young,761319.00,983044.00
Jannero Pargo,696446.00,899277.00
Quincy Acy,665000.00,858674.00
Jeff Adrien,653356.00,843638.00
Doron Lamb,650000.00,839305.00
Jae Crowder,600491.00,775377.00
Garrett Temple,572943.00,739806.00
Will Barton,550000.00,710181.00
Orlando Johnson,550000.00,710181.00
Jeffery Taylor,550000.00,710181.00
Chris Johnson,508586.00,656705.00
Kevin Murphy,473604.00,611536.00
Luke Zeller,473604.00,611536.00
Diante Garrett,473604.00,611536.00
DeQuan Jones,473604.00,611536.00
Pablo Prigioni,473604.00,611536.00
Chris Copeland,473604.00,611536.00
Darius Miller,473604.00,611536.00
Brian Roberts,473604.00,611536.00
Robert Sacre,473604.00,611536.00
Ben Hansbrough,473604.00,611536.00
Kent Bazemore,473604.00,611536.00
Khris Middleton,473604.00,611536.00
Kim English,473604.00,611536.00
Quincy Miller,473604.00,611536.00
Bernard James,473604.00,611536.00
Tornike Shengelia,473604.00,611536.00
Tyshawn Taylor,473604.00,611536.00
Mike Scott,473604.00,611536.00
Mickael Gelabale,452323.00,584057.00
Kenyon Martin,429516.00,554607.00
Jordan Williams,420000.00,542320.00
Kevin Jones,390000.00,503583.00
Juwan Howard,373838.00,482714.00
Josh Harrellson,358680.00,463141.00
Samardo Samuels,346781.00,447777.00
Earl Barron,339726.00,438667.00
Maalik Wayns,334308.00,431670.00
Jarvis Varnado,314806.00,406488.00
Terrel Harris,304878.00,393670.00
Donald Sloan,300395.00,387881.00
Micheal Eric,300000.00,387371.00
Patrick Beverley,298092.00,384908.00
Terrence Williams,296775.00,383207.00
Travis Leslie,294835.00,380701.00
Shavlik Randolph,280286.00,361916.00
DJ White,263980.00,340861.00
Aron Baynes,239588.00,309365.00
Dionte Christmas,236800.00,305765.00
Troy Murphy,226619.00,292619.00
Scott Machado,225657.00,291376.00
Kris Joseph,225657.00,291377.00
Darius Johnson-Odom,195013.00,251808.00
Malcolm Thomas,179340.00,231570.00
DaJuan Summers,177024.00,228580.00
Chris Quinn,169339.00,218657.00
Tim Ohlbrecht,142081.00,183460.00
Tracy McGrady,79540.00,102705.00
Justin Holiday,76220.00,98418.00
Chris Douglas-Roberts,72892.00,94121.00
Solomon Jones,62912.00,81234.00
Jerel McNeal,61289.00,79138.00
Damion James,50258.00,64895.00
Andrew Goudelock,44835.00,57892.00
Justin Dentmon,44835.00,57892.00
Josh Akognon,41788.00,53958.00
Eddy Curry,31629.00,40840.00
Chris Wright,27859.00,35972.00
Henry Sims,25073.00,32375.00
